"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","GENDER","EVENT","EVENT_TYPE"
"chatcmpl-8PqqM5VjhaD0a3q5AHKRkeajh5wtf",2,1,2,1,3,2,1,3,2,2,2,2,1,2,1,2,1,2,1,1,1,3,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,3,"M",5,"="
"chatcmpl-8Pqv44PgqbF7cFj4ysl6QDzFcABKg",2,1,3,1,2,3,2,3,3,2,2,3,3,2,1,4,4,2,2,2,4,3,2,4,2,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,2,2,"M",5,"="
"chatcmpl-8PqwsDpd0nWHQD0tr3m1gKMY1NLDs",1,2,2,1,2,2,1,3,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8Pr5PFgRQb1SMba4VYHD21O9WZOrV",2,1,3,1,2,3,1,3,2,3,2,3,4,2,1,4,4,2,1,2,4,2,1,3,1,4,3,3,3,3,3,2,3,4,3,3,3,4,3,3,1,3,"M",5,"="
"chatcmpl-8Pr6ZyBn6woLUSDUtNOp4UI2HXD2o",2,1,2,1,2,2,1,3,2,2,3,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8Pr8zBuJBct7LAKsP4n9lep3USxsG",2,2,1,1,2,2,1,3,2,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,3,1,2,2,2,2,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8PrCPcoBrFjwovQtDn5EY45kaiual",2,1,2,1,2,2,1,3,2,2,2,3,2,2,1,2,3,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PrDpWCzHlWT3qqw6UH9WgHZEHggC",2,2,2,1,3,2,1,4,2,3,3,3,3,2,1,3,2,3,2,2,3,4,1,3,1,3,3,3,3,2,3,3,3,2,3,2,3,3,3,2,1,3,"M",5,"="
"chatcmpl-8PrG3c7DE4ZJMVgA1At0b9L7O3etB",2,1,3,1,3,2,1,4,3,3,2,3,3,2,1,4,3,3,1,2,3,4,1,4,1,4,3,3,3,2,3,3,4,3,3,4,3,4,3,3,1,3,"M",5,"="
"chatcmpl-8PrI1bfKWRl2E7HeHE8uUHiQIzsa8",2,2,2,1,3,2,1,3,2,3,2,2,2,2,1,3,2,2,1,1,3,2,1,2,1,2,3,1,2,1,3,2,3,2,2,1,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8PrIzYGORG1guwSTGDjj6QyT5P39A",2,1,1,1,2,2,1,4,2,2,2,3,2,2,1,2,1,2,1,1,2,3,1,2,1,2,2,1,3,2,2,2,3,1,2,1,2,1,2,2,1,2,"M",5,"="
"chatcmpl-8PrPqfHx10Cy3OMgcF2NRjGrpDWrd",2,1,2,1,2,3,1,4,3,3,2,3,2,2,1,3,3,2,1,2,3,3,1,3,1,3,2,3,2,2,3,3,3,3,3,2,3,3,2,2,1,3,"M",5,"="
"chatcmpl-8PraLbvCtW5DpH46VvdG4T9fWnJdi",2,2,3,1,3,2,1,3,2,3,2,4,3,2,1,3,4,2,1,2,3,3,1,3,1,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,1,3,"M",5,"="
"chatcmpl-8Prc9ZlMpvf4fuHrJMyiIf63I2niT",2,1,1,1,2,1,1,3,1,1,2,3,2,2,1,2,2,2,1,1,1,2,1,2,1,2,3,1,2,1,3,2,3,2,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8PreAPBnIqerARNqMNgYsw2sjLwLj",2,1,3,1,2,2,1,4,3,3,2,4,3,2,1,3,3,2,1,2,4,3,1,3,1,3,3,3,3,2,3,3,3,3,3,2,3,4,3,4,1,3,"M",5,"="
"chatcmpl-8Prg9bQqae86GTmnYacGG6ytj84A3",2,1,1,1,2,3,1,3,2,2,2,1,1,2,1,2,1,2,1,1,2,3,1,2,1,2,2,1,3,1,2,2,2,1,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8Pri8NVxyHrc1GG4YgSMlNaZCNCqw",3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,"M",5,"="
"chatcmpl-8Prk4MKtVcgEKqyVjfRqr5HzWZD3n",2,1,2,1,3,2,1,3,2,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,3,1,3,1,2,2,3,2,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PrlBQNg1BzBifVJHkgqEjKwEWx8z",1,1,2,1,2,2,1,3,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8PrphUb73WSLkLk0SByYMAx03QUdQ",2,1,2,1,3,2,1,4,2,3,2,3,2,2,1,3,2,3,1,1,3,4,1,3,1,3,3,2,3,2,3,2,3,2,2,1,3,3,3,2,1,3,"M",5,"="
"chatcmpl-8PrrsqLLlT58CqGkumq1qFLe6oqcz",2,1,2,1,3,2,1,3,2,2,2,3,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,"M",5,"="
"chatcmpl-8PrvVquCiJEGevjoDkp1F4WSnCkwC",2,1,3,1,2,2,1,3,2,3,2,2,2,2,1,3,3,2,1,2,4,3,1,3,1,3,2,3,3,2,3,2,3,3,2,3,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8PrxHVubUcI9cVhDXyixN2ZVNEnUd",2,2,3,1,2,2,2,3,2,2,3,3,3,2,1,3,4,2,1,1,4,3,1,3,2,3,3,3,2,2,3,2,3,4,2,2,4,3,3,2,1,2,"M",5,"="
"chatcmpl-8Ps15cHama0d6iEuL58ShQgzoVYRA",2,1,3,1,2,3,1,3,3,2,2,2,2,2,1,3,3,2,1,1,3,3,1,2,1,2,2,2,3,2,3,2,3,3,2,1,3,3,2,3,1,2,"M",5,"="
"chatcmpl-8Ps2tcNfQ7MoOZxoNPb3HqQUUFOe2",2,1,2,1,1,2,1,3,2,2,2,2,2,2,1,2,2,2,1,2,2,3,1,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8Ps46e6ptcdWRNwKFXVhyKLDPEnWw",2,1,2,1,3,2,1,3,2,2,3,2,3,2,1,3,3,2,1,2,2,2,1,3,1,3,2,2,3,2,3,2,3,3,2,2,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8Ps6F3F0QBNC2lF4kwdxqInqlpSE6",3,2,4,2,4,2,2,3,3,3,3,4,4,3,2,4,4,3,2,3,4,3,2,4,2,4,3,4,4,3,4,3,4,4,3,4,4,4,3,3,2,3,"M",5,"="
"chatcmpl-8Ps8Br1dblRIg7UhN1dBnFnQKmqoY",1,2,2,1,3,2,2,3,3,3,2,3,2,2,1,2,2,2,1,2,2,3,1,2,1,2,2,2,3,3,2,2,3,2,2,2,3,3,2,3,1,2,"M",5,"="
"chatcmpl-8Ps9nKounMZqmtZ5cpPcCDmlbjR5l",1,1,2,1,2,2,1,3,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PsC0ABekADnOY1mLOUBA7LmxLUIf",2,1,3,1,4,2,1,3,3,3,2,3,3,2,1,3,4,1,1,2,3,3,1,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,"M",5,"="
"chatcmpl-8PsEEi8TbdrqRkMOX8NsnTdQX7anA",2,1,2,1,2,2,1,4,2,2,2,3,2,2,1,3,3,2,1,2,3,2,2,3,1,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,1,3,"M",5,"="
"chatcmpl-8PsFKkvdU9INNw0H5puMZ6ZIU0UaL",2,2,3,1,3,2,1,3,3,3,3,3,3,2,1,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"M",5,"="
"chatcmpl-8PsH3tBG5SwITsgLi3SWRvmRgxKmJ",2,1,2,1,2,1,2,3,2,2,3,2,2,2,1,2,2,2,1,2,2,3,1,2,3,2,2,2,3,2,2,3,3,2,3,2,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PsOEkTuUxI72rzcg9bSHLRnyT6fd",2,1,2,1,2,3,1,3,3,2,3,3,2,2,1,3,3,2,1,2,2,3,1,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,"M",5,"="
"chatcmpl-8PsVLRP8fLoyKgVFxW9W6WCFnRakB",2,1,1,1,2,2,1,3,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8PsXXzomHrJLSJiZih1b9V0HugJvE",2,1,3,1,2,2,1,3,2,2,2,3,2,2,1,3,3,2,1,2,3,3,1,3,1,3,2,3,2,2,3,2,3,3,2,2,3,3,2,3,1,2,"M",5,"="
"chatcmpl-8PsZ9CUs7QT67miu8Cdf5pGktIpsR",2,2,2,1,2,3,1,4,2,2,2,3,2,2,1,2,2,3,1,2,2,3,1,2,1,2,3,3,3,2,2,3,3,2,3,2,2,2,3,3,1,2,"M",5,"="
"chatcmpl-8PsaxXHZOHOKRHXFWHcSEdsht08aO",2,1,2,1,2,3,1,3,3,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,3,2,3,3,2,2,3,3,2,2,2,3,2,2,3,1,2,"M",5,"="
"chatcmpl-8Pscd9qM5w0q7ifH1OaxQBcz953sR",2,1,2,1,1,2,1,3,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,3,1,1,2,2,1,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8PsdltTVk6DAY3kOn007RDtiHJlk7",2,1,2,1,3,2,1,3,2,3,3,2,1,3,1,2,2,2,1,1,2,2,1,2,1,2,3,1,3,1,3,2,3,1,3,1,3,2,3,2,1,3,"M",5,"="
"chatcmpl-8PshGy0dWSzjasPHHedTopiKd95Ae",2,1,4,1,3,4,2,4,4,4,3,3,3,3,1,4,3,3,1,3,4,4,1,3,2,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,2,3,"M",5,"="
"chatcmpl-8PslNhfXoIQuyYJ5Df8AljoarBF0I",2,1,2,1,2,2,1,3,2,1,2,3,2,2,1,2,2,2,1,1,1,3,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,2,"M",5,"="
"chatcmpl-8PsnTf04mLSKPwcwFBH6TK7WLuBf2",2,2,2,1,2,2,1,3,3,2,2,3,3,2,1,3,3,2,2,2,2,3,1,4,1,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,1,3,"M",5,"="
"chatcmpl-8PsuYwTMVpUmu6oTfQ2KRVE0sj2m1",2,1,1,1,2,3,1,4,2,2,3,3,2,2,1,2,2,2,1,2,2,3,1,2,1,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,1,3,"M",5,"="
"chatcmpl-8Psw37GCR6CWXTas2FwkPcNRC7yow",2,1,2,1,2,2,1,3,3,2,2,3,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,2,2,3,2,3,2,2,1,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8PsxUpvKEgrC61WrcqgCYAfIwh9cI",2,1,1,1,2,2,1,3,2,2,3,3,2,2,1,2,1,2,1,1,1,3,1,2,1,2,2,1,3,1,2,2,3,1,2,1,2,1,2,2,1,2,"M",5,"="
"chatcmpl-8PszKdD3WU5z0Fz9HK4coRcoTb1ho",2,1,2,1,3,2,1,3,2,2,2,1,2,1,1,2,1,2,1,1,2,3,1,2,1,2,2,2,3,2,2,2,3,1,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8Pt0JXv9n8TaMV7kzIsXd7xXH1AVD",2,1,3,1,3,2,1,2,2,2,2,3,3,2,1,3,3,2,2,1,3,2,1,3,1,3,2,2,2,2,3,2,2,3,2,1,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8Pt2BuwjgoehJo5NbpEMxYldzMPnd",2,2,1,1,2,2,1,3,2,1,2,2,1,2,1,1,1,2,2,1,1,3,1,1,1,1,2,1,2,1,2,3,2,1,2,1,1,1,2,1,1,1,"M",5,"="
"chatcmpl-8Pt3iQjiPu1Kv19fte0VhngaFwEKK",2,1,2,1,3,2,1,4,3,3,2,3,3,2,1,3,3,2,1,2,3,3,1,3,1,3,3,3,3,2,3,2,4,3,2,4,3,4,3,3,1,3,"M",5,"="
"chatcmpl-8Pt5E8Jad7Y9xLUwfjux77qC3IunO",2,1,2,1,2,2,1,3,2,2,2,3,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,"M",5,"="
"chatcmpl-8Pt6Vn24yc6scrdFFqNDh5426AUk6",2,1,3,1,3,2,1,3,3,2,2,2,3,2,1,3,3,2,1,2,3,3,1,3,1,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,1,3,"M",5,"="
"chatcmpl-8Pt8kOCj4zwihta89R06glFCisGe7",2,1,2,1,3,2,1,4,3,2,2,3,2,2,1,2,1,2,1,1,1,3,1,2,1,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,1,2,"M",5,"="
"chatcmpl-8PtAY2jCUi1ZYpd3trXLv32vLVUHn",2,1,3,1,2,2,1,2,3,3,2,4,3,2,1,4,3,2,1,3,3,2,1,3,1,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,1,3,"M",5,"="
"chatcmpl-8PtBX8GDAmvzaMdoCjsE72f0KEIw3",2,1,2,1,3,2,2,4,3,3,2,3,2,2,1,3,3,2,1,1,3,4,1,3,1,2,2,2,3,2,3,3,3,3,3,1,3,3,2,3,1,3,"M",5,"="
"chatcmpl-8PtF0LLJW3PX3LzQjFGoypxrwDCVH",2,1,1,1,3,2,1,3,2,2,2,2,2,1,1,2,1,2,1,1,1,3,1,2,1,2,2,1,3,2,2,2,2,1,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8PtLEL5wj2I9A5HWDzTYqZiQe6v5y",2,1,1,1,2,2,1,3,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8PtejsnrYvhv3GLxhZ4J6QJuRFjg9",2,1,2,1,2,2,1,3,4,2,3,3,2,2,1,2,1,2,1,1,2,3,1,2,1,2,3,2,3,1,2,2,3,2,3,1,2,2,3,3,1,2,"M",5,"="
"chatcmpl-8PtgRkLcOFpIp0ytw7SwsHUraOHyT",2,2,3,1,3,1,1,3,2,2,2,3,3,2,1,3,3,2,1,1,3,3,1,3,2,3,2,2,3,2,3,2,3,3,2,1,3,3,2,2,1,3,"M",5,"="
"chatcmpl-8PtmhFj6UBOD5R2dcMAQvPlCrwApN",2,1,2,1,3,2,1,3,1,2,2,3,2,2,1,2,1,2,1,1,2,3,1,2,1,2,2,2,3,2,2,2,3,1,2,1,2,2,2,1,1,2,"M",5,"="
"chatcmpl-8PtndpTC5u0liBZl2qQSma7ceCAQj",2,1,2,1,2,2,1,3,2,2,2,3,2,2,1,2,2,2,1,2,2,3,1,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PtpAuXp5RIjwHmPCmhnrIyZlpvcN",2,1,2,1,2,2,1,3,3,3,2,2,3,2,1,3,3,2,1,2,3,3,1,3,2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3,1,2,"M",5,"="
"chatcmpl-8Ptu0V7sYM134QafmQKEvDIhqh8BB",2,2,1,1,2,1,1,3,1,2,2,3,2,2,1,2,2,1,1,1,1,3,1,2,1,2,2,1,3,2,2,1,3,2,2,1,2,1,2,2,1,2,"M",5,"="
"chatcmpl-8Pu2ZvKtRxgT7PbXdSGNPeJPm2bcl",3,1,2,1,3,2,1,3,2,2,3,4,3,2,1,3,3,2,1,2,3,3,1,3,1,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,1,3,"M",5,"="
"chatcmpl-8Pu4ex2t2h7neGTHSKughIJfNq8m8",2,1,1,1,2,2,1,3,2,1,2,2,2,1,1,2,2,2,1,1,1,3,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8Pu6vq2fLTucpWqfJQ9CjB8KVysBe",2,1,2,1,2,3,1,3,2,2,3,2,2,2,1,2,2,3,1,1,2,3,1,2,1,2,3,1,2,1,2,3,3,2,3,1,2,2,3,2,1,2,"M",5,"="
"chatcmpl-8Pu8TNYrEVww2pWYBjrYQCg96BRfl",2,1,2,1,2,2,1,3,2,2,1,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,3,1,2,1,2,2,1,1,3,2,2,1,1,2,"M",5,"="
"chatcmpl-8PuARmA2fi8PBy8smy24w39k7jjo6",2,2,2,1,2,2,1,3,2,2,2,3,2,2,1,3,2,3,1,2,2,3,1,2,1,2,2,2,3,2,2,3,3,2,3,2,2,3,2,2,1,2,"M",5,"="
"chatcmpl-8PuCO0yebwtp7VfERZPjHs7iwGy2R",2,1,2,1,2,2,1,3,2,2,2,2,2,2,1,3,2,2,1,1,2,2,1,3,1,3,2,2,2,2,3,2,3,2,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PuDQnCDw3b5BpYVwKbXZqMcXGVZP",2,1,2,1,2,2,1,3,2,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,3,1,2,1,1,1,2,1,1,2,"M",5,"="
"chatcmpl-8PuEFhvi90G9VYOYs6zl4YcnBdppO",2,1,1,1,2,2,1,3,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,"M",5,"="
"chatcmpl-8PuFiQR5mYAKQNvxNz857qy0qgkgv",2,1,2,1,3,2,1,4,3,2,2,3,2,1,1,3,3,2,1,2,2,4,1,3,1,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,1,3,"M",5,"="
"chatcmpl-8PuN0qs21Fo7qotDHR2iweTU0GlOC",2,1,2,1,2,2,1,4,2,2,3,3,2,2,1,2,2,2,1,1,2,3,1,2,1,2,3,1,3,1,2,3,3,2,3,1,2,2,3,1,2,2,"M",5,"="
"chatcmpl-8PuOjLnnUOXxqM6EVczYEW30V9dco",2,1,1,1,2,2,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,"M",5,"="
"chatcmpl-8PuRw8VVx6arKmgqX7P1GVShbTuSV",1,1,2,1,2,2,1,3,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,3,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,"M",5,"="
"chatcmpl-8PuhDoDtx47PPE32Fbmjs5L7c0vaE",1,1,2,1,2,2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M",5,"="
"chatcmpl-8PuiT56WqhjLzKN1C9Bzi9d3tXffc",2,1,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,"M",5,"="
"chatcmpl-8PujuSOG6LLdLkQYLZOalo5IwFOhC",2,1,2,1,3,2,1,4,2,1,2,3,2,3,1,3,1,2,1,2,1,3,1,3,1,2,3,2,4,2,3,2,3,1,2,1,1,2,3,2,1,3,"M",5,"="
"chatcmpl-8PundtAjfWixr6KjFh3KV8w22CAdn",2,1,2,1,3,2,1,3,3,2,2,2,3,2,1,3,2,2,2,1,3,3,1,3,1,3,3,2,3,2,3,2,3,2,2,3,3,3,2,2,1,2,"M",5,"="
"chatcmpl-8Puq2XaNcKPb3KJNYkt6eoy0TDHzz",2,1,2,1,3,2,1,2,3,2,3,3,3,2,1,3,4,3,1,1,4,3,1,3,1,3,3,3,2,2,3,3,3,4,3,2,3,3,3,2,1,3,"M",5,"="
"chatcmpl-8Pus2d9qpLMOCMn1RJiqrgiQ3wyb9",2,1,2,1,2,1,1,3,1,2,2,2,2,2,1,2,1,2,1,1,2,3,1,2,1,2,2,1,3,2,2,2,2,1,2,1,2,2,2,1,1,2,"M",5,"="
"chatcmpl-8Put49n5rUuAetlboVLfeoHAspFL6",2,1,1,1,2,2,1,3,2,2,2,2,1,2,1,1,1,1,1,1,1,3,1,1,1,2,2,2,3,2,2,2,3,1,2,1,1,1,2,2,1,2,"M",5,"="
"chatcmpl-8PuuqYkcFrtGQJamvgZKUvt005YFJ",2,1,2,1,2,1,1,2,2,2,2,3,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,3,2,2,2,1,2,2,2,1,1,2,"M",5,"="
